image,date,year,month,veg_px,con_px,veg_shape,con_shape,R,G,B,sdR,redfrac,RminusB,z_R,z_G,z_B,z_RminusB,z_redfrac
63,2018-12-14,2018,12,247,539611,"(818, 1395)","(2141, 3647)",189.82454079978774,187.29818111889833,187.58924114416786,49.0670256599879,0.004243503155480287,2.235299655619883,-0.16078039114928877,0.4098405051324052,1.0414292844521158,-1.5801192310049943,-0.9700838259978143
62,2019-01-31,2019,1,2024,195630,"(818, 1395)","(2141, 3647)",197.47775643091444,183.16872391009497,181.99759672935687,36.63662893903618,0.013081873141527194,15.480159701557568,0.587626031926131,0.07054905085938587,0.6794189322314583,-0.3997313324874575,-0.4869005542813866
61,2019-02-24,2019,2,5031,196619,"(818, 1395)","(2141, 3647)",190.72575548629024,169.30815751940779,163.07731709371038,37.72539692310623,0.030571589027473155,27.648438392579862,-0.07265078753467386,-1.0682862705766645,-0.5455046478287103,0.6847111503213267,0.4692416027569915
60,2019-03-19,2019,3,1177,161680,"(818, 1395)","(2141, 3647)",198.38025125332334,181.3397771317568,178.7992330735868,35.18144089275549,0.012649884402085245,19.58101817973653,0.6758808197745289,-0.07972397071047244,0.4723526977462653,-0.034260976108709124,-0.51051686959719
59,2019-04-21,2019,4,10070,168879,"(818, 1395)","(2141, 3647)",178.93295184131995,159.18530248122124,142.60286913935283,36.360968698932915,0.06658282999334048,36.330082701967115,-1.2258666930250648,-1.9000174240026513,-1.8710471118394587,1.458423205148015,2.437933709551091
58,2019-05-26,2019,5,2322,137880,"(818, 1395)","(2141, 3647)",184.55772046709367,175.3039363813902,159.17241398709305,32.06289052792534,0.017117660138177865,25.385306480000622,-0.6758216961585092,-0.5756509369922417,-0.7983131678536487,0.48301981397710336,-0.2662688350762864
57,2019-06-25,2019,6,8946,180348,"(818, 1395)","(2141, 3647)",174.7033597128312,161.1777442561269,139.08137891095998,35.91542903453659,0.05354573381928983,35.62198080187122,-1.6394776597768534,-1.736311049731259,-2.0990329820685103,1.3953168445755733,1.7252110250510984
56,2019-07-30,2019,7,1016,138876,"(818, 1395)","(2141, 3647)",193.9615525234434,185.27535198970176,181.03802044033552,29.945894344108904,0.010652300510109788,12.923532083107887,0.2437771563644216,0.24363739361261935,0.6172947117693897,-0.6275791384564835,-0.6197224269540886
55,2019-08-29,2019,8,1581,133150,"(818, 1395)","(2141, 3647)",193.75740557456476,184.20351914766982,178.1081051893087,29.91408035952932,0.014447438336814238,15.649300385256055,0.22381366713897372,0.15557164905536247,0.4276081771264771,-0.3846574385020008,-0.4122467142811911
54,2019-09-28,2019,9,9281,1607094,"(818, 1395)","(2141, 3647)",154.45256781859678,157.18327241296075,162.5786690878736,48.67833994308783,0.040978425226981426,-8.12610126927683,-3.619798541416179,-2.0645116078654393,-0.5777877700796448,-2.503531952696054,1.0381710740320893
53,2019-10-10,2019,10,402,123486,"(818, 1395)","(2141, 3647)",204.36397858006785,195.5654967677407,189.55620480954178,30.07227043962521,0.006753158625258657,14.807773770526069,1.2610283160836353,1.0891136898623346,1.1687730775268619,-0.45965466979493297,-0.8328839189241227
52,2019-11-22,2019,11,1125,182401,"(818, 1395)","(2141, 3647)",180.36337747466237,173.57234994649198,166.95369674143504,32.2608780034794,0.015483172764616932,13.409680733227333,-1.085985656958191,-0.7179244731953931,-0.2945427737337125,-0.5842533515858527,-0.3556243336561318
51,2019-12-29,2019,12,1479,157148,"(818, 1395)","(2141, 3647)",185.10957875050144,177.0280280029984,169.28157892472703,35.19655211930653,0.017465308137302665,15.827999825774413,-0.6218555852011801,-0.4339932023271835,-0.14383264508719829,-0.3687316637993515,-0.24726332864376818
50,2020-01-28,2020,1,1258,219009,"(818, 1395)","(2141, 3647)",187.99864402962174,180.79992688051647,177.31545210822006,36.76017802748524,0.01652435668190573,10.683191921401686,-0.3393344704446763,-0.12408006100788532,0.37629078285268736,-0.827239263687622,-0.29870403586272165
49,2020-02-27,2020,2,1162,112590,"(818, 1395)","(2141, 3647)",185.8389072459116,176.5975588609846,165.63938598917827,31.268072478347634,0.016064567971032378,20.199521256733334,-0.5505346977722528,-0.46936213674843325,-0.37963296600194796,0.020860296955010845,-0.3238401428562953
48,2020-03-21,2020,3,3075,113812,"(818, 1395)","(2141, 3647)",171.3870703930799,166.93497330235675,154.8320610417845,29.688029307315254,0.022859746843683502,16.55500935129541,-1.9637769278627957,-1.263275849968469,-1.0793132783633994,-0.3039402471248382,0.047644278453207865
47,2020-04-27,2020,4,610,102350,"(818, 1395)","(2141, 3647)",195.86096257970462,191.05046989126183,180.21513997875255,33.25408629764428,0.009355073842345683,15.645822600952073,0.4295200851770341,0.7181424077925035,0.5640203574588576,-0.3849673802070725,-0.6906402801869339
46,2020-05-30,2020,5,2969,71693,"(818, 1395)","(2141, 3647)",183.57503343271048,176.71229305023866,158.39657206968272,32.65358717126647,0.023410868758675683,25.178461363027765,-0.7719184643475747,-0.45993515204839724,-0.8485421854652342,0.46458568389982174,0.07777346408595918
45,2020-06-19,2020,6,5183,144165,"(818, 1395)","(2141, 3647)",186.88955705276194,175.69656344019438,140.89858938030463,37.46582987540571,0.037587179366372084,45.990967672457316,-0.4477918636814816,-0.543391247877504,-1.9813844062177233,2.319405629166468,0.8527756591862689
44,2020-07-31,2020,7,163,83626,"(818, 1395)","(2141, 3647)",206.34435811548667,202.57733709884246,192.88234955443158,28.847256292098752,0.0029984776502185134,13.462008561055086,1.4546892340390285,1.6652323860430198,1.3841120263779483,-0.5795898719787175,-1.0381479031921936
43,2020-08-28,2020,8,588,89937,"(818, 1395)","(2141, 3647)",198.02353013036327,193.6221012145139,184.0772457851503,31.661519396781483,0.009572207823518775,13.946284345212973,0.6409971326372977,0.9294371342907314,0.8140581244499399,-0.5364309957669311,-0.6787698213138998
42,2020-09-27,2020,9,124,91988,"(818, 1395)","(2141, 3647)",201.65392047996818,198.8039035704407,196.07360611538482,29.084179293185194,0.0030006043515992827,5.580314364583359,0.9960122774954777,1.3551931521396827,1.5907181382753937,-1.2820100120982487,-1.0380316389338806
41,2020-10-22,2020,10,2325,83102,"(818, 1395)","(2141, 3647)",201.16888182792437,191.54464549988853,174.7523731376557,32.05320567700041,0.021088439028451866,26.41650869026867,0.9485804449004263,0.7587457007772966,0.21035370744680618,0.5749210198564567,-0.049191032439145736
40,2020-11-23,2020,11,1606,142017,"(818, 1395)","(2141, 3647)",187.31472570219898,182.90907828268868,175.878052858729,34.61123603849508,0.017265293386469482,11.436672843469978,-0.40621470664505593,0.049215607245899975,0.283231680737455,-0.7600887042186275,-0.25819789936797344
39,2020-12-26,2020,12,2598,419240,"(818, 1395)","(2141, 3647)",181.72783575010894,173.9212738555709,170.38256926740485,40.739224673406795,0.027297597623963325,11.34526648270409,-0.9525555556019216,-0.6892555962568875,-0.07255309435456964,-0.768234880299112,0.2902563509043607
38,2021-01-30,2021,1,4296,150317,"(818, 1395)","(2141, 3647)",182.6666614148627,168.24578789744027,160.93289850176714,33.05362460343691,0.028311140010868565,21.733762913095546,-0.8607479819603153,-1.1555744820259581,-0.6843371042920813,0.15759260505719472,0.34566551880537416
37,2021-02-19,2021,2,10341,263473,"(818, 1395)","(2141, 3647)",176.66877599504798,157.85429029424623,148.48826584703582,36.56699296926279,0.05760028022177093,28.18051014801216,-1.4472799953538662,-2.0093783006842454,-1.490018853056906,0.7321296250411027,1.9468682988662587
36,2021-03-26,2021,3,478,74989,"(818, 1395)","(2141, 3647)",191.74318137283953,178.65759714371296,166.46908251869672,26.660996934502865,0.007731772989891191,25.274098854142807,0.026843086047010734,-0.3001017837618621,-0.32591733056353334,0.47310894022455713,-0.779384224840448
35,2021-04-05,2021,4,4881,85532,"(818, 1395)","(2141, 3647)",182.40082722731304,168.758010701937,150.2287443451889,34.71655327202461,0.03392832814678358,32.17208288212416,-0.8867438538949859,-1.113488364780573,-1.3773380050974118,1.0878603866389536,0.6527505747198589
34,2021-05-27,2021,5,206,117523,"(818, 1395)","(2141, 3647)",202.47013774285878,197.01337128463857,185.1575300849187,31.081484022655992,0.004945189135625687,17.312607657940077,1.075830000086215,1.208076407140491,0.8839971389591139,-0.23642274448614325,-0.9317234803526956
33,2021-06-26,2021,6,274,141625,"(818, 1395)","(2141, 3647)",205.19199442280117,200.0155071360809,182.30929595143567,28.71407442188078,0.003436954172236991,22.8826984713655,1.3419998194330836,1.4547429755189085,0.6995987463971747,0.25998625998858826,-1.014176908448344
