dist_lo_m,dist_hi_m,veg_frac_median,q1,q3
0,100,0.005349049696544296,0.0019032839533735684,0.01035949676928327
100,200,0.001280429408947961,0.00033171830400115145,0.0025698136713127456
200,300,0.00022980438124724993,6.421576497030021e-06,0.0010958491181128354
300,400,0.0,0.0,0.0008257946631536178
400,500,0.0,0.0,7.12401472145566e-05
500,600,0.0,0.0,0.0
600,700,0.0,0.0,0.0
700,800,0.0,0.0,0.0
800,900,0.0,0.0,0.0
900,1000,0.0,0.0,0.0
1000,1100,0.0,0.0,0.0
1100,1200,0.0,0.0,0.0
1200,1300,0.0,0.0,0.0
1300,1400,0.0,0.0,0.0
1400,1500,0.0,0.0,0.0
1500,1600,0.0,0.0,0.0
1600,1700,0.0,0.0,0.0
1700,1800,0.0,0.0,0.0
1800,1900,0.0,0.0,0.0
1900,2000,,,
2000,2100,,,
2100,2200,,,
2200,2300,,,
2300,2400,,,
2400,2500,,,
2500,2600,,,
2600,2700,,,
2700,2800,,,
2800,2900,,,
2900,3000,,,
