year,n,med,q1,q3,anom,anom_q1,anom_q3,lt0,gt020,platforms
1989,18,0.14178552322648047,0.13273458901219942,0.14434598271998683,0.0041145241941378,0.0028000491244481,0.0063228150779892495,0.00037033834707560003,0.0029035377371517002,L4/L5
1990,25,0.1313610883520771,0.1239136683268175,0.134704941615961,0.0040540759679780995,0.0020539874382452,0.0063086196178068,0.0005298471553155,0.002345895223887,L4/L5
1991,24,0.13731219998883734,0.06440834977612016,0.19147416994654984,0.7050773682529079,0.588542113633143,0.8249816610146216,0.26850247690216644,0.29043417464620547,L4/L5
1992,13,0.086776971369334,-0.0118567966401678,0.10869424026319,0.3634692829535933,0.271250681176748,0.6272148278944767,0.1533176572339793,0.0008925818335253,L4/L5
1993,20,0.1073676057356171,0.08626099299627335,0.11929946468109777,0.2197317853404162,0.17938551393890756,0.35904644771845623,0.07564722835142496,0.0065956070136443,L4/L5
1994,14,0.10421544506700514,0.09537008909396896,0.11290677135703008,0.13468275230418708,0.08468012777131252,0.2302454046950941,0.01179174341193125,0.0029074264142372,L5
1995,18,0.12191646268280285,0.1042264687316975,0.13981440483924923,0.0657739326736861,0.04426513137124692,0.14237987499532526,0.00880292117030675,0.00341595996991775,L5
1996,25,0.1138368345768303,0.107055960938338,0.1171635619207465,0.0854848738814242,0.0601817562563184,0.10460911444679269,0.013130918676169,0.0045732333757976,L5
1997,27,0.1204337108314956,0.11578834441194094,0.1312155941064979,0.0516002754328035,0.04260416641718075,0.07169224440181911,0.0101820944937447,0.0032975198095248,L5
1998,30,0.11889097744858675,0.10822543506737548,0.12676625041305845,0.05694142938238089,0.043242111940472845,0.08150395039523828,0.0109932378168745,0.00455464916242225,L5
1999,28,0.12381307184852991,0.11506551095022695,0.1273747080874401,0.04692443128904665,0.029474369639826872,0.0606903464834741,0.00930192844699625,0.00223361960817385,L5/L7
2000,32,0.114402551793848,0.0995170843204106,0.1247732237372263,0.0529813217729833,0.02136129395823312,0.09336036880838267,0.0097160294571032,0.0008587395712906,L5/L7
2001,29,0.1191038099602898,0.1156854490200153,0.1243335464123445,0.0327945971374344,0.022253091758194198,0.054984080995032304,0.0089022215015404,0.00161082822517,L5/L7
2002,20,0.11823294320273885,0.10345681339581615,0.12609573907448315,0.048938359486667346,0.026804464686441647,0.0772043491614855,0.01377463135135805,0.0016905737996513,L5/L7
2003,13,0.1185484785963712,0.1107624309387266,0.12166092633282,0.034235446156636505,0.028846007053112,0.0762872665351244,0.0114040578294123,0.00080538363828,L7
2004,13,0.1166047601629467,0.1119329047762815,0.1196919826194688,0.037054769015647096,0.027116835607042,0.056654938774255904,0.0137943718962663,0.0016104920862422,L7
2005,11,0.1050525733144831,0.10091009311730831,0.1150554946426113,0.047904513355848895,0.03807362015726515,0.07197749846316134,0.0151551965012452,0.0004457800767049,L7
2006,9,0.109476743797218,0.101396121989297,0.113112848879534,0.0435946905386633,0.026315179516499,0.0613615084228393,0.0143336708051366,0.0005492851768246,L7
2007,11,0.1090696254311316,0.1039356303167569,0.112936165329874,0.0283096217792016,0.0250552719524246,0.0436970436410917,0.0112382540163685,0.0002323037033706,L7
