id,date,platform,path,cloud,sun_el,n_valid,valid_frac,red_med,swir2_med,hci_mean,hci_med,hci_sd,hci_p5,hci_p10,hci_p25,hci_p75,hci_p90,hci_p95,frac_lt_0,frac_lt_005,frac_gt_010,frac_gt_015,frac_gt_020
LT05_L2SP_165040_19890108_02_T1,1989-01-08,landsat-5,165,1.0,30.53795004,184914,0.9994649024663133,0.3802775,0.50312,0.1358095523326721,0.1349523963516213,0.0253365868176555,0.1132963980387512,0.118381079120744,0.1250964269672386,0.1458961573669324,0.1555529330022922,0.1606352122021946,0.0012979006457055,0.0022821419686989,0.9911093805769168,0.1779205468488054,0.0039531890500448
LT05_L2SP_166040_19890115_02_T1,1989-01-15,landsat-5,166,0.0,31.13219521,106581,0.5777875357793391,0.413415,0.5242125,0.1230272461242483,0.1215196256870847,0.0246786685363169,0.1063340922103766,0.1103684504560859,0.1158463845136966,0.1280134463176848,0.1385374400854418,0.1478922609029217,0.0008444281813831,0.0018295943929968,0.9802591456263312,0.0443793921993601,0.0045223820380743
LT05_L2SP_165040_19890209_02_T1,1989-02-09,landsat-5,165,1.0,35.74355057,184996,0.9999081145649223,0.3731825,0.5010574999999999,0.1402226179833264,0.1399608242063463,0.0150110195088558,0.1208919119327699,0.1249302808679718,0.1319383431650991,0.1488935319457938,0.155775316279639,0.1601229330536488,0.0003567644705831,0.0007081234188847,0.9956053103850894,0.2096099375121624,0.0020865316006832
LT05_L2SP_165040_19890225_02_T1,1989-02-25,landsat-5,165,0.0,40.298245,185000,0.9999297346672936,0.42161,0.5374125000000001,0.1176521793734416,0.1165461337530661,0.0148455187477837,0.0991675093599865,0.1026365975945107,0.1082492980357236,0.126750274469985,0.1345871897496179,0.1392354443465433,0.0003675675675675,0.0007837837837837,0.9304216216216216,0.0099783783783783,0.0013783783783783
LT05_L2SP_165040_19890430_02_T1,1989-04-30,landsat-5,165,0.0,59.29170651,184986,0.9998540643089944,0.36243,0.476665,0.1329287596084467,0.1319953198990588,0.0185586863212111,0.1111409256296599,0.1142516311304828,0.1201864709936426,0.144164404621734,0.1533329826234788,0.1599513507707932,0.0004540884175018,0.0008865535770274,0.9936860086709264,0.1435892445914826,0.002638037473106
LT04_L2SP_165040_19890524_02_T1,1989-05-24,landsat-4,165,0.0,63.17377538,185000,0.9999297346672936,0.39576,0.5243500000000001,0.1383306503508056,0.137212379269673,0.0129568975687036,0.1224505124038413,0.1256512184861997,0.1309907686093497,0.1447050404287291,0.1536421712926224,0.1593576333362914,0.0002702702702702,0.0005135135135135,0.9972486486486486,0.1525459459459459,0.0010054054054054
LT04_L2SP_166040_19890531_02_T1,1989-05-31,landsat-4,166,2.0,63.42716851,83537,0.4528634313470379,0.41479,0.53898,0.1316635192057967,0.1324770753826969,0.0082621001783521,0.1209294100482287,0.1239654766509707,0.1275678091993143,0.1358993518012041,0.1392478200028912,0.1418736257256053,0.0002753271005662,0.0005147419706237,0.997138992302812,0.0033518081808061,5.985371751439482e-05
LT05_L2SP_165040_19890601_02_T1,1989-06-01,landsat-5,165,0.0,62.29818117,184999,0.9999243296417007,0.4003525,0.5338925000000001,0.14469112807835,0.1429616936980709,0.0132773653428471,0.1296987515214923,0.1325518439015999,0.1370923775204927,0.1510995078310077,0.1604592671837515,0.1657041114129776,0.0003945967275498,0.0005621652008929,0.998156746793226,0.2801474602565419,0.0022540662381958
LT05_L2SP_166040_19890608_02_T1,1989-06-08,landsat-5,166,1.0,62.27010888,50051,0.2713320756353543,0.419135,0.5515749999999999,0.1350805521136946,0.1353213428258066,0.0107680444540315,0.1253287098970288,0.127522053292737,0.1310241198213315,0.1393948724414044,0.1429932774587559,0.1451464056072701,0.0006593274859643,0.0007592255898983,0.9988411819943658,0.0091506663203532,0.0001997962078679
LT04_L2SP_165040_19890609_02_T1,1989-06-09,landsat-4,165,0.0,63.44267266,184985,0.9998486592834016,0.39906,0.531445,0.1442532846474259,0.1428629294188136,0.0130760210675004,0.1280334388173643,0.1310851925648223,0.1367368112170353,0.1503921243961593,0.1595682668417376,0.1659100002308251,0.0002540746547017,0.000470308403384,0.9985944806335648,0.2660648160661675,0.0013190258669621
