,n,veg_mean,veg_med,con_mean,con_med,rain,tavg,tmax
Jan,6,0.58,0.582,5.302,4.467,15.71,14.655,20.403
Feb,6,0.83,0.784,4.064,3.635,14.348,16.541,22.891
Mar,5,0.412,0.53,3.202,2.868,10.993,20.678,27.251
Apr,5,0.646,0.518,3.29,2.579,9.683,26.926,33.77
May,5,0.254,0.183,2.871,2.962,3.04,33.466,40.804
Jun,3,0.56,0.09,5.092,4.545,0.037,39.107,46.506
Jul,4,0.224,0.206,2.743,2.682,0.009,40.319,47.515
Aug,5,0.26,0.263,3.021,3.355,0.0,39.193,46.721
Sep,4,0.165,0.115,3.302,3.008,0.022,36.023,44.036
Oct,5,0.242,0.195,2.7,2.883,0.698,29.646,37.925
Nov,5,0.315,0.277,4.517,4.597,18.016,22.203,28.566
Dec,6,0.409,0.415,7.426,5.997,18.665,16.776,22.385
