image,date,year,month,veg_px,con_px,veg_shape,con_shape,R,G,B,sdR,redfrac,RminusB,z_R,z_G,z_B,z_RminusB,z_redfrac,season,flag,ym,rain_mm,rain_3mo,rain_6mo,TAVG,TMAX,veg_km2,con_km2,phase
63,2018-12-14,2018,12,247,539611,"(818, 1395)","(2141, 3647)",189.8245407997877,187.2981811188984,187.58924114416783,49.0670256599879,0.0042435031554802,2.235299655619883,-0.1607803911492887,0.4098405051324052,1.0414292844521158,-1.5801192310049943,-0.9700838259978144,Winter,False,2018-12,12.12252372317016,,,16.767741935483873,22.94761904761905,0.04259144879880117,13.5981972,Pre
62,2019-01-31,2019,1,2024,195630,"(818, 1395)","(2141, 3647)",197.47775643091444,183.16872391009497,181.99759672935687,36.63662893903618,0.0130818731415271,15.480159701557568,0.587626031926131,0.0705490508593858,0.6794189322314583,-0.3997313324874575,-0.4869005542813866,Winter,False,2019-01,21.53486669063568,,,14.825806451612902,20.656,0.3490084711286379,4.929876,Pre
61,2019-02-24,2019,2,5031,196619,"(818, 1395)","(2141, 3647)",190.72575548629024,169.3081575194078,163.07731709371038,37.72539692310623,0.0305715890274731,27.648438392579862,-0.0726507875346738,-1.0682862705766645,-0.5455046478287103,0.6847111503213267,0.4692416027569915,Winter,False,2019-02,17.403859972953796,51.06125038675964,,15.664285714285716,21.43076923076924,0.8675205623755816,4.9547988,Pre
60,2019-03-19,2019,3,1177,161680,"(818, 1395)","(2141, 3647)",198.3802512533233,181.3397771317568,178.7992330735868,35.18144089275549,0.0126498844020852,19.58101817973653,0.6758808197745289,-0.0797239707104724,0.4723526977462653,-0.0342609761087091,-0.51051686959719,Spring,False,2019-03,14.459501504898071,53.39822816848755,,18.838709677419352,25.310714285714287,0.20295601310197964,4.074336,Pre
59,2019-04-21,2019,4,10070,168879,"(818, 1395)","(2141, 3647)",178.93295184131995,159.18530248122124,142.60286913935283,36.36096869893292,0.0665828299933404,36.33008270196712,-1.2258666930250648,-1.9000174240026515,-1.8710471118394587,1.458423205148015,2.437933709551091,Spring,False,2019-04,9.1089938133955,40.97235529124737,,24.656666666666663,30.7,1.7364206048742015,4.2557507999999995,Pre
58,2019-05-26,2019,5,2322,137880,"(818, 1395)","(2141, 3647)",184.55772046709367,175.3039363813902,159.17241398709305,32.06289052792534,0.0171176601381778,25.385306480000622,-0.6758216961585092,-0.5756509369922417,-0.7983131678536487,0.4830198139771033,-0.2662688350762864,Spring,False,2019-05,3.772391721606255,27.340887039899822,78.40213742665946,33.20322580645161,41.02258064516129,0.4003941057118069,3.474576,Pre
57,2019-06-25,2019,6,8946,180348,"(818, 1395)","(2141, 3647)",174.7033597128312,161.1777442561269,139.08137891095998,35.91542903453659,0.0535457338192898,35.62198080187122,-1.6394776597768534,-1.736311049731259,-2.0990329820685103,1.3953168445755733,1.7252110250510984,Summer,False,2019-06,0.0,12.881385535001757,66.2796137034893,39.48333333333333,47.325,1.542603647587349,4.5447695999999995,Pre
56,2019-07-30,2019,7,1016,138876,"(818, 1395)","(2141, 3647)",193.9615525234434,185.27535198970176,181.03802044033552,29.945894344108904,0.0106523005101097,12.923532083107888,0.2437771563644216,0.2436373936126193,0.6172947117693897,-0.6275791384564835,-0.6197224269540886,Summer,False,2019-07,0.0,3.772391721606255,44.74474701285362,40.260000000000005,47.03103448275862,0.175193975625838,3.4996752,Pre
55,2019-08-29,2019,8,1581,133150,"(818, 1395)","(2141, 3647)",193.7574055745648,184.20351914766985,178.1081051893087,29.91408035952932,0.0144474383368142,15.649300385256057,0.2238136671389737,0.1555716490553624,0.4276081771264771,-0.3846574385020008,-0.4122467142811911,Summer,False,2019-08,0.0,0.0,27.340887039899822,39.096774193548384,47.12083333333333,0.27261975931540344,3.35538,Pre
54,2019-09-28,2019,9,9281,1607094,"(818, 1395)","(2141, 3647)",154.45256781859678,157.18327241296075,162.5786690878736,48.67833994308783,0.0409784252269814,-8.12610126927683,-3.619798541416179,-2.06451160786544,-0.5777877700796448,-2.503531952696054,1.0381710740320893,Autumn,True,2019-09,0.0,0.0,12.881385535001757,36.34,44.92380952380952,1.6003693777395693,40.4987688,Pre
